Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Name-additional
2010,1s,,47,FrRnd,47,Rockies,Y,$982500,*Pete Tago (minors),RHP,,,,,,,,,,,,,HS,Dana Hills HS (Dana Point CA),-9999
2010,1s,,50,FrRnd,50,Cardinals,Y,$1300000,*Tyrell Jenkins (minors),RHP,-0.4,14,13,0,.000,.000,14,2,4,5.88,1.69,0,HS,Henderson HS (Henderson TX),jenkity01
2009,1,,5,FrRnd,5,Orioles,Y,$2422000,Matt Hobgood (minors),RHP,,,,,,,,,,,,,HS,Norco HS (Norco CA),-9999
2009,1,,6,FrRnd,6,Giants,Y,$3300000,Zack Wheeler (minors),RHP,40.2,152,288,1,.153,.367,283,113,75,3.28,1.14,0,HS,East Paulding HS (Dallas GA),wheelza01
2009,1,,9,FrRnd,9,Tigers,Y,$4700000,Jacob Turner (minors),RHP,-2.6,73,77,0,.091,.257,102,14,31,5.37,1.54,0,HS,Westminster Christian Academy (Town and Country MO),turneja01
2009,1,,11,FrRnd,11,Rockies,Y,$3900000,Tyler Matzek (minors),LHP,5.4,93,46,0,.217,.511,175,16,21,3.73,1.39,1,HS,Capistrano Valley HS (Mission Viejo CA),matzety01
2009,1,,14,FrRnd,14,Rangers,N,,Matt Purke (minors),LHP,-0.1,0,0,0,,,12,0,1,5.5,1.78,0,HS,Klein HS (Klein TX),purkema01
2009,1,,18,FrRnd,18,Marlins,Y,$1700000,Chad James (minors),LHP,,,,,,,,,,,,,HS,Yukon HS (Yukon OK),-9999
2009,1,,19,FrRnd,19,Cardinals,Y,$2875000,Shelby Miller (minors),RHP,10.3,144,204,1,.108,.346,302,51,69,4.04,1.31,13,HS,Brownwood HS (Brownwood TX),millesh01
2009,1s,,40,FrRnd,40,Angels,Y,$1000000,*Tyler Skaggs (minors),LHP,3.6,17,23,0,.087,.212,96,28,38,4.41,1.33,0,HS,Santa Monica HS (Santa Monica CA),skaggty01
2008,1,,15,FrRnd,15,Dodgers,Y,$1730000,Ethan Martin (minors),RHP,-0.6,17,9,0,.000,.000,17,2,5,5.93,1.64,0,HS,Stephens County School (Toccoa GA),martiet01
2008,1,,28,FrRnd,28,Yankees,N,,Gerrit Cole (minors),RHP,43.2,128,251,3,.163,.393,317,153,80,3.18,1.09,0,HS,Orange Lutheran HS (Orange CA),colege01
2008,1s,,32,FrRnd,32,Brewers,Y,$1060000,*Jake Odorizzi (minors),RHP,13.4,16,24,0,.083,.203,241,74,69,3.99,1.25,1,HS,Highland HS (Highland IL),odorija01
2008,1,,36,FrRnd,36,Royals,Y,$988000,Mike Montgomery (minors),LHP,5.9,117,80,1,.125,.311,183,23,34,3.84,1.35,3,HS,William S. Hart HS (Santa Clarita CA),montgmi01
